Image,Angle (degrees)
grayscale_Img000599.tif,16.56
grayscale_Img000600.tif,16.0
grayscale_Img000601.tif,16.15
grayscale_Img000602.tif,16.44
grayscale_Img000603.tif,17.18
grayscale_Img000604.tif,17.32
grayscale_Img000605.tif,17.61
grayscale_Img000606.tif,16.86
grayscale_Img000607.tif,16.68
grayscale_Img000608.tif,17.26
grayscale_Img000609.tif,17.11
grayscale_Img000610.tif,16.41
grayscale_Img000611.tif,16.25
grayscale_Img000612.tif,16.85
grayscale_Img000613.tif,16.15
grayscale_Img000614.tif,16.15
grayscale_Img000615.tif,15.85
grayscale_Img000616.tif,16.43
grayscale_Img000617.tif,15.23
grayscale_Img000618.tif,14.93
grayscale_Img000619.tif,15.24
grayscale_Img000620.tif,14.94
grayscale_Img000621.tif,15.09
grayscale_Img000622.tif,14.63
grayscale_Img000623.tif,14.2
grayscale_Img000624.tif,15.1
grayscale_Img000625.tif,14.19
grayscale_Img000626.tif,14.19
grayscale_Img000627.tif,13.89
grayscale_Img000628.tif,14.62
grayscale_Img000629.tif,14.33
grayscale_Img000630.tif,14.64
grayscale_Img000631.tif,14.79
grayscale_Img000632.tif,14.34
grayscale_Img000633.tif,14.94
grayscale_Img000634.tif,14.33
grayscale_Img000635.tif,15.23
grayscale_Img000636.tif,15.51
grayscale_Img000637.tif,15.51
grayscale_Img000638.tif,16.71
grayscale_Img000639.tif,17.43
grayscale_Img000640.tif,16.86
grayscale_Img000641.tif,17.31
grayscale_Img000642.tif,18.8
grayscale_Img000643.tif,17.14
grayscale_Img000644.tif,16.96
grayscale_Img000645.tif,17.56
grayscale_Img000646.tif,17.41
grayscale_Img000647.tif,16.29
grayscale_Img000648.tif,16.15
grayscale_Img000649.tif,16.44
grayscale_Img000650.tif,15.87
grayscale_Img000651.tif,15.26
grayscale_Img000652.tif,15.26
grayscale_Img000653.tif,14.94
grayscale_Img000654.tif,14.95
grayscale_Img000655.tif,15.72
grayscale_Img000656.tif,14.68
grayscale_Img000657.tif,14.54
grayscale_Img000658.tif,14.84
grayscale_Img000659.tif,14.55
grayscale_Img000660.tif,14.4
grayscale_Img000661.tif,13.96
grayscale_Img000662.tif,15.0
grayscale_Img000663.tif,15.3
grayscale_Img000664.tif,15.59
grayscale_Img000665.tif,16.61
grayscale_Img000666.tif,16.74
grayscale_Img000667.tif,17.01
grayscale_Img000668.tif,16.7
grayscale_Img000669.tif,17.72
grayscale_Img000670.tif,17.87
grayscale_Img000671.tif,17.45
grayscale_Img000672.tif,17.61
grayscale_Img000673.tif,18.63
grayscale_Img000674.tif,19.22
grayscale_Img000675.tif,19.51
grayscale_Img000676.tif,18.6
grayscale_Img000677.tif,18.03
grayscale_Img000678.tif,18.65
grayscale_Img000679.tif,18.37
grayscale_Img000680.tif,18.51
grayscale_Img000681.tif,19.22
grayscale_Img000682.tif,18.31
grayscale_Img000683.tif,17.87
grayscale_Img000684.tif,16.43
grayscale_Img000685.tif,16.13
grayscale_Img000686.tif,16.15
grayscale_Img000687.tif,16.14
grayscale_Img000688.tif,15.55
grayscale_Img000689.tif,15.26
grayscale_Img000690.tif,15.54
grayscale_Img000691.tif,15.67
grayscale_Img000692.tif,16.26
grayscale_Img000693.tif,16.1
grayscale_Img000694.tif,16.09
grayscale_Img000695.tif,15.96
grayscale_Img000696.tif,15.39
grayscale_Img000697.tif,15.52
grayscale_Img000698.tif,15.51
grayscale_Img000699.tif,15.83
grayscale_Img000700.tif,16.56
grayscale_Img000701.tif,16.72
grayscale_Img000702.tif,16.15
grayscale_Img000703.tif,16.46
grayscale_Img000704.tif,16.46
grayscale_Img000705.tif,16.75
grayscale_Img000706.tif,16.32
grayscale_Img000707.tif,16.75
grayscale_Img000708.tif,16.74
grayscale_Img000709.tif,17.61
grayscale_Img000710.tif,18.03
grayscale_Img000711.tif,18.02
grayscale_Img000712.tif,18.0
grayscale_Img000713.tif,18.29
grayscale_Img000714.tif,19.56
grayscale_Img000715.tif,19.7
grayscale_Img000716.tif,19.82
grayscale_Img000717.tif,20.39
grayscale_Img000718.tif,20.67
grayscale_Img000719.tif,19.8
grayscale_Img000720.tif,17.47
grayscale_Img000721.tif,18.47
grayscale_Img000722.tif,18.92
grayscale_Img000723.tif,17.53
grayscale_Img000724.tif,17.69
grayscale_Img000725.tif,18.13
grayscale_Img000726.tif,18.57
grayscale_Img000727.tif,18.71
grayscale_Img000728.tif,18.72
grayscale_Img000729.tif,17.39
grayscale_Img000730.tif,16.81
grayscale_Img000731.tif,14.68
grayscale_Img000732.tif,15.69
grayscale_Img000733.tif,15.56
grayscale_Img000734.tif,15.27
grayscale_Img000735.tif,15.72
grayscale_Img000736.tif,16.01
grayscale_Img000737.tif,15.57
grayscale_Img000738.tif,15.58
grayscale_Img000739.tif,16.01
grayscale_Img000740.tif,16.31
grayscale_Img000741.tif,15.56
grayscale_Img000742.tif,16.74
grayscale_Img000743.tif,17.17
grayscale_Img000744.tif,16.87
grayscale_Img000745.tif,17.03
grayscale_Img000746.tif,17.01
grayscale_Img000747.tif,16.39
grayscale_Img000748.tif,16.42
grayscale_Img000749.tif,17.16
grayscale_Img000750.tif,17.16
grayscale_Img000751.tif,17.0
grayscale_Img000752.tif,17.14
grayscale_Img000753.tif,15.98
grayscale_Img000754.tif,16.71
grayscale_Img000755.tif,17.12
grayscale_Img000756.tif,17.71
grayscale_Img000757.tif,17.55
grayscale_Img000758.tif,17.41
grayscale_Img000759.tif,16.14
grayscale_Img000760.tif,15.83
grayscale_Img000761.tif,15.25
grayscale_Img000762.tif,15.4
grayscale_Img000763.tif,15.25
grayscale_Img000764.tif,15.83
grayscale_Img000765.tif,16.11
grayscale_Img000766.tif,16.84
grayscale_Img000767.tif,16.83
grayscale_Img000768.tif,16.97
grayscale_Img000769.tif,17.12
grayscale_Img000770.tif,16.41
grayscale_Img000771.tif,16.69
grayscale_Img000772.tif,17.54
grayscale_Img000773.tif,17.7
grayscale_Img000774.tif,17.85
grayscale_Img000775.tif,17.99
grayscale_Img000776.tif,17.54
grayscale_Img000777.tif,17.54
grayscale_Img000778.tif,17.85
grayscale_Img000779.tif,18.0
grayscale_Img000780.tif,19.11
grayscale_Img000781.tif,16.29
grayscale_Img000782.tif,15.85
grayscale_Img000783.tif,16.57
grayscale_Img000784.tif,16.57
grayscale_Img000785.tif,15.99
grayscale_Img000786.tif,15.68
grayscale_Img000787.tif,15.51
grayscale_Img000788.tif,15.65
grayscale_Img000789.tif,15.07
grayscale_Img000790.tif,14.92
grayscale_Img000791.tif,15.36
grayscale_Img000792.tif,14.91
grayscale_Img000793.tif,15.36
grayscale_Img000794.tif,14.9
grayscale_Img000795.tif,15.62
grayscale_Img000796.tif,14.91
grayscale_Img000797.tif,15.2
grayscale_Img000798.tif,15.66
grayscale_Img000799.tif,14.61
grayscale_Img000800.tif,15.21
grayscale_Img000801.tif,15.09
grayscale_Img000802.tif,14.8
